Hispanic,Black non-Hispanic,Other non-Hispanic,White non-Hispanic,Male,Female,18-44 years,45-64 years,Bachelor's degree or above,High school graduate or less,Some college,tract_x,tract_y,latitude,longitude,google_loc
0.837101064,0.040336879,0.00554078,0.105274823,0.495124113,0.504875887,0.440159574,0.134973404,0.2025,0.7975,0.2025,222300,2223,29.8959119,-95.3513748,"29.8959119, -95.3513748 (2223)"
0.838422048,0.009186706,0.004323156,0.118076196,0.543636855,0.456363145,0.48824642,0.125371521,0.155373032,0.844626968,0.155373032,222401,2224.01,29.9005904,-95.3964095,"29.9005904, -95.3964095 (2224.01)"
0.817473756,0.048763969,0.007958009,0.115645107,0.522350152,0.477649848,0.465628175,0.127328141,0.187606984,0.812393016,0.187606984,222402,2224.02,29.9111919,-95.3889136,"29.9111919, -95.3889136 (2224.02)"
0.877622378,0.054545455,0.003146853,0.058741259,0.545804196,0.454195804,0.546153846,0.082867133,0.12934947,0.87065053,0.12934947,222501,2225.01,29.9283143,-95.4058397,"29.9283143, -95.4058397 (2225.01)"
0.812173913,0.036273292,0.005962733,0.139875776,0.510559006,0.489440994,0.44621118,0.142360248,0.208571429,0.791428571,0.208571429,222502,2225.02,29.9253365,-95.3885504,"29.9253365, -95.3885504 (2225.02)"
0.879649229,0.064106441,0.003931055,0.048533414,0.537949803,0.462050197,0.517992138,0.100241911,0.145537389,0.854462611,0.145537389,222503,2225.03,29.9203357,-95.4033164,"29.9203357, -95.4033164 (2225.03)"
0.819284415,0.149383465,0.00444714,0.021427128,0.531433192,0.468566808,0.525773196,0.101879927,0.099964171,0.900035829,0.099964171,222600,2226,29.935753,-95.3977445,"29.935753, -95.3977445 (2226)"
0.236714976,0.683671498,0.006763285,0.069371981,0.403671498,0.596328502,0.421642512,0.099516908,0.318063959,0.681936041,0.318063959,222700,2227,29.9343627,-95.3357433,"29.9343627, -95.3357433 (2227)"
0.822802584,0.01179444,0.0112328,0.135636057,0.51642797,0.48357203,0.466442011,0.114855378,0.103294249,0.896705751,0.103294249,222800,2228,29.9234175,-95.3657928,"29.9234175, -95.3657928 (2228)"
0.802752294,0.090086646,0.007517839,0.090341488,0.502930683,0.497069317,0.447247706,0.154816514,0.257916475,0.742083525,0.257916475,222900,2229,29.9142916,-95.3450125,"29.9142916, -95.3450125 (2229)"
0.748816486,0.165970482,0.006683375,0.0737956,0.505151768,0.494848232,0.440267335,0.129490393,0.190443213,0.809556787,0.190443213,223001,2230.01,29.9164122,-95.3150362,"29.9164122, -95.3150362 (2230.01)"
0.845671267,0.089836888,0.00727729,0.050941029,0.513676286,0.486323714,0.471769134,0.104140527,0.144896194,0.855103806,0.144896194,223002,2230.02,29.906774,-95.327696,"29.906774, -95.327696 (2230.02)"
0.743249645,0.069635244,0.003789673,0.177640928,0.503552819,0.496447181,0.454760777,0.127427759,0.167826087,0.832173913,0.167826087,223100,2231,29.9236934,-95.3245004,"29.9236934, -95.3245004 (2231)"
0.182404692,0.79941349,0.007038123,0.011143695,0.471554252,0.528445748,0.382991202,0.158944282,0.272727273,0.727272727,0.272727273,230100,2301,29.8138484,-95.330229,"29.8138484, -95.330229 (2301)"
0.126236644,0.837950139,0.011673922,0.022160665,0.47685002,0.52314998,0.411357341,0.181440443,0.316756757,0.683243243,0.316756757,230200,2302,29.8199173,-95.3073371,"29.8199173, -95.3073371 (2302)"
